ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2020-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,7.206399999999999,0.0,0.0,-20.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,7.206399999999999,0.0,0.0,-20.0,0.0,0.0,0.0,0.0
2020-01-01 02:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,7.206399999999999,0.0,0.0,-20.0,0.0,0.0,0.0,0.0
2020-01-01 03:00:00,3,1,0,1,0,0,0,1,0,0,0,0,0.35,0.0,3.0,7.206399999999999,2.5,0.0333333333333333,-15.881,0.6550621669626998,0.025,0.1387655417406749,4.0
2020-01-01 04:00:00,4,22,0,4,18,0,0,23,2,0,2,0,1.35,34.0,3.0,7.206399999999999,55.00000000000001,0.6140350877192983,61.60400000000001,11.905114645567576,0.55,3.191607460035524,3.1818181818181817
2020-01-01 05:00:00,5,17,0,2,15,0,0,7,3,0,3,0,2.35,88.0,3.0,7.206399999999999,42.5,0.4774774774774775,69.919,4.353353881517083,0.425,0.9713587921847248,3.117647058823529
2020-01-01 06:00:00,6,11,0,3,8,0,0,3,3,1,4,1,3.35,118.5,3.0,7.206399999999999,27.500000000000004,0.3333333333333333,76.95730680173662,2.2624253189084453,0.275,0.4162966252220249,3.272727272727273
2020-01-01 07:00:00,7,11,0,2,9,0,0,2,3,0,3,0,4.35,208.0,3.0,7.206399999999999,27.500000000000004,0.3153153153153153,68.329,1.7580534474406588,0.275,0.2775310834813499,3.1818181818181817
2020-01-01 08:00:00,8,10,0,2,8,0,0,5,3,0,3,0,5.35,268.0,3.0,7.46,25.0,0.2882882882882883,71.824,2.944772117962467,0.25,0.6702412868632708,3.2
2020-01-01 09:00:00,9,12,0,2,10,0,0,3,4,0,4,0,6.35,298.5,3.0,7.46,30.0,0.3518518518518518,95.154,2.2234584450402144,0.3,0.4021447721179624,3.1666666666666665
2020-01-01 10:00:00,10,13,1,2,10,0,0,7,4,1,5,1,7.35,59.0,4.0,11.16,32.5,0.3071428571428571,117.2073068017366,3.1497173972980423,0.325,0.6272401433691757,3.3076923076923075
2020-01-01 11:00:00,11,22,1,3,15,2,1,12,8,1,9,1,8.35,100.0,4.0,11.16,55.00000000000001,0.5403225806451613,195.7523068017366,4.949682306940371,0.55,1.075268817204301,3.0454545454545454
2020-01-01 12:00:00,12,23,1,3,18,0,1,7,7,1,8,1,9.35,168.0,4.0,11.16,57.49999999999999,0.5625,190.1373068017366,3.763534361851333,0.575,0.6272401433691757,3.130434782608696
2020-01-01 13:00:00,13,23,0,3,18,1,1,7,8,0,8,0,10.35,206.5,4.0,11.16,57.49999999999999,0.5390625,194.909,3.606720430107527,0.575,0.6272401433691757,3.0
2020-01-01 14:00:00,14,41,2,6,27,4,2,23,8,1,9,1,11.35,237.0,4.0,11.16,102.5,1.0080645161290325,253.42730680173665,9.40832896232188,1.025,2.060931899641577,3.048780487804878
2020-01-01 15:00:00,15,40,2,6,26,4,2,7,7,1,8,1,12.35,139.5,4.0,11.16,100.0,0.953125,243.5223068017366,4.963082437275985,1.0,0.6272401433691757,3.05
2020-01-01 16:00:00,16,41,2,4,27,6,2,13,8,1,9,1,13.35,170.0,4.0,11.16,102.5,0.9758064516129032,264.7073068017366,6.462800507037328,1.025,1.1648745519713262,2.951219512195122
2020-01-01 17:00:00,17,39,3,5,27,3,1,9,9,1,10,1,14.35,230.0,4.0,11.16,97.5,1.025,279.45730680173665,5.618424317617865,0.975,0.8064516129032258,3.1538461538461537
2020-01-01 18:00:00,18,39,2,6,29,1,1,12,9,2,11,2,15.35,184.0,4.0,11.16,97.5,1.0689655172413792,299.36561360347326,6.518803418803419,0.975,1.075268817204301,3.1794871794871797
2020-01-01 19:00:00,19,43,1,8,32,1,1,11,6,2,8,2,16.35,150.5,4.0,11.16,107.5,1.0625,273.38561360347325,6.51744602817371,1.075,0.985663082437276,3.1627906976744184
2020-01-01 20:00:00,20,44,1,10,29,2,1,13,10,2,12,2,17.35,143.0,4.0,10.5,110.0,1.2232142857142858,334.77061360347324,7.279978354978356,1.1,1.238095238095238,3.113636363636364
2020-01-01 21:00:00,21,49,0,10,36,1,1,18,8,3,11,3,18.35,79.0,4.0,10.5,122.5,1.3017241379310345,338.6039204052098,9.05779883381924,1.225,1.7142857142857142,3.0816326530612246
2020-01-01 22:00:00,22,46,1,8,35,1,1,13,8,3,11,3,19.35,133.0,3.0,6.8,115.0,1.6666666666666667,337.80892040520985,9.651214833759589,1.15,1.911764705882353,3.152173913043478
2020-01-01 23:00:00,23,45,1,9,33,1,1,11,8,4,12,4,20.35,187.0,3.0,6.8,112.5,1.7023809523809523,355.5722272069464,8.715522875816992,1.125,1.6176470588235294,3.1777777777777776
2020-01-02 00:00:00,0,41,1,8,30,1,1,8,8,3,11,3,21.35,241.0,3.0,6.8,102.5,1.4942528735632183,338.36392040520985,6.980272596843615,1.025,1.1764705882352942,3.1707317073170733
2020-01-02 01:00:00,1,34,0,7,24,2,1,8,9,1,10,1,22.35,283.0,3.0,6.8,85.0,1.1666666666666667,313.85230680173663,6.258217993079585,0.85,1.1764705882352942,3.088235294117647
2020-01-02 02:00:00,2,33,0,9,21,2,1,5,10,1,11,1,23.35,339.0,3.0,6.8,82.5,1.1954022988505748,330.7473068017366,4.91729055258467,0.825,0.7352941176470589,3.1515151515151514
2020-01-02 03:00:00,3,33,0,9,21,2,1,4,10,1,11,1,24.35,399.0,3.0,6.8,82.5,1.1954022988505748,336.3873068017366,4.453832442067736,0.825,0.5882352941176471,3.1515151515151514
2020-01-02 04:00:00,4,32,0,11,18,2,1,6,10,2,12,2,25.35,447.0,3.0,6.8,80.0,1.2261904761904765,354.15061360347323,5.415073529411765,0.8,0.8823529411764706,3.21875
2020-01-02 05:00:00,5,33,1,11,18,2,1,3,10,2,12,2,26.35,507.0,3.0,6.8,82.5,1.2857142857142858,361.93561360347326,4.143850267379679,0.825,0.4411764705882353,3.272727272727273
2020-01-02 06:00:00,6,35,0,11,21,2,1,4,11,2,13,2,27.35,555.0,3.0,6.8,87.5,1.382716049382716,385.2656136034733,4.682352941176471,0.875,0.5882352941176471,3.2
2020-01-02 07:00:00,7,36,0,12,21,2,1,3,12,2,14,2,28.35,599.0,3.0,6.8,90.0,1.4871794871794872,406.4506136034733,4.321568627450981,0.9,0.4411764705882353,3.2222222222222223
